AccessId,ByWho,WhatPage,TypeOfAccess,AccessTime
1,174960,127342,Poked,294465
2,57472,111727,Sent a Message,773676
3,154540,118834,Poked,582222
4,60063,56720,Wrote on Timeline,289832
5,34375,165476,Other,633116
6,172880,61100,Added a Friendship,234148
7,10296,101969,Other,80423
8,123897,108153,Viewed,795853
9,127758,139063,Poked,478292
10,45253,162195,Wrote on Timeline,130937
11,181242,167035,Viewed,359065
12,106311,74269,Poked,659348
13,7544,27384,Added a Friendship,67967
14,25493,120965,Wrote on Timeline,253553
15,34603,152994,Poked,534837
16,96715,135806,Wrote on Timeline,95320
17,117975,13742,Sent a Message,470278
18,125154,148354,Other,512032
19,64133,89206,Added a Friendship,409986
20,56843,199491,Added a Friendship,185896
21,173089,167577,Poked,939004
22,130788,166194,Poked,697935
23,88189,17697,Sent a Message,574459
24,76582,20094,Wrote on Timeline,335913
25,11804,21845,Other,948681
26,114245,54845,Viewed,523380
27,143522,21826,Sent a Message,547508
28,180723,195551,Wrote on Timeline,341235
29,183397,79557,Sent a Message,533859
30,15413,168403,Added a Friendship,997470
31,131984,107139,Other,567697
32,28446,46909,Added a Friendship,364922
33,115895,102634,Viewed,983183
34,57685,91745,Added a Friendship,337174
35,61266,32222,Poked,891927
36,51178,91799,Wrote on Timeline,630216
37,122749,142951,Added a Friendship,249983
38,34880,90322,Viewed,116764
39,175991,86729,Wrote on Timeline,782832
40,106594,197044,Viewed,859057
41,78820,10328,Poked,227525
42,170912,20715,Other,321883
43,189873,16747,Wrote on Timeline,127080
44,165968,86990,Viewed,598804
45,146252,67100,Poked,403492
46,79673,142838,Added a Friendship,455044
47,119923,26134,Sent a Message,292002
48,110945,126011,Added a Friendship,168400
49,153626,58921,Added a Friendship,251771
50,85365,87451,Other,115588
51,159158,6896,Viewed,48203
52,105362,60632,Sent a Message,714821
53,11032,8962,Added a Friendship,339939
54,138158,106424,Poked,664072
55,177080,40678,Poked,946884
56,173263,157580,Sent a Message,718148
57,117732,145122,Poked,689879
58,25705,189684,Viewed,194649
59,148087,111805,Wrote on Timeline,262417
60,124694,116173,Wrote on Timeline,515545
61,159264,135153,Other,342995
62,35870,24402,Wrote on Timeline,152507
63,155921,168781,Sent a Message,22271
64,55977,52886,Other,619574
65,141872,117322,Other,172538
66,163442,72198,Sent a Message,210786
67,64161,117775,Wrote on Timeline,392932
68,190760,138913,Sent a Message,705023
69,120507,18280,Other,508981
70,25438,170506,Sent a Message,384912
71,113122,153109,Viewed,281808
72,176345,70984,Other,611044
73,94573,15833,Sent a Message,893473
74,136912,126756,Poked,639472
75,15639,51348,Viewed,226971
76,59636,29870,Wrote on Timeline,217083
77,139086,49998,Wrote on Timeline,413805
78,42329,59364,Poked,26024
79,141699,122969,Other,371924
80,131840,135301,Poked,438171
81,151427,114001,Other,987720
82,161960,121886,Other,396569
83,69858,114070,Sent a Message,900087
84,140683,188276,Sent a Message,613853
85,91803,166712,Added a Friendship,575895
86,28590,128944,Added a Friendship,285003
87,142747,44987,Sent a Message,751113
88,137326,144345,Poked,939675
89,36713,64590,Sent a Message,411178
90,198482,50169,Sent a Message,479676
91,36015,98099,Sent a Message,586406
92,180483,138060,Sent a Message,505653
93,54584,63611,Added a Friendship,74988
94,110359,7805,Added a Friendship,434610
95,80681,10822,Sent a Message,673095
96,198794,86942,Wrote on Timeline,508864
97,3396,71788,Poked,744714
98,47358,180960,Viewed,59094
99,52134,182514,Added a Friendship,934739
100,182954,130481,Sent a Message,244023
101,13739,121318,Sent a Message,17063
102,159206,167825,Viewed,849049
103,85336,185574,Poked,471896
104,120860,86754,Wrote on Timeline,875279
105,64250,196905,Wrote on Timeline,954286
106,114240,37448,Sent a Message,682285
107,1456,87570,Sent a Message,572269
108,8108,113425,Added a Friendship,592385
109,37630,199438,Sent a Message,847359
110,161565,95717,Wrote on Timeline,609859
111,91571,171118,Other,418853
112,13353,156622,Wrote on Timeline,711230
113,143876,19434,Poked,583288
114,88612,54656,Viewed,473282
115,94794,48290,Added a Friendship,747078
116,151259,109888,Other,379200
117,24998,124531,Added a Friendship,144991
118,41492,35782,Viewed,195926
119,184118,191666,Added a Friendship,84888
120,51353,199678,Added a Friendship,434839
121,143887,14217,Sent a Message,466623
122,153571,158829,Wrote on Timeline,662798
123,171291,19334,Poked,620719
